Punto,Fecha,Hora,Especie,N,Observaciones
LR01_2,05-12-20,18:06:00,C. chinga,1,
LR01_2,05-12-20,20:33:00,D. novemcinctus,1,
LR01_2,06-12-20,00:20:00,D. hybridus,1,"juvenil, cerca del hoyo ¿cueva?"
LR01_2,06-12-20,18:42:00,D. hybridus,1,
LR01_2,06-12-20,21:08:00,D. albiventris,1,husmeando hoyo
LR01_2,07-12-20,17:09:00,L. gymnocercus,1,
LR01_2,07-12-20,17:40:00,D. hybridus,1,
LR01_2,07-12-20,20:04:00,C. chinga,1,
LR01_2,07-12-20,21:25:00,C. chinga,1,
LR01_2,08-12-20,05:36:00,L. gymnocercus,1,con algo en la boca
LR01_2,08-12-20,09:51:00,C. chinga,1,
LR01_2,08-12-20,23:04:00,D. hybridus,1,juvenil
LR01_2,08-12-20,23:59:00,D. hybridus,1,"juvenil, cerca del hoyo ¿cueva?"
LR01_2,09-12-20,02:20:00,D. hybridus,1,juvenil
LR01_2,09-12-20,04:43:00,C. chinga,1,
LR01_2,10-12-20,04:36:00,D. hybridus,1,
LR01_2,10-12-20,05:21:00,C. chinga,1,
LR01_2,10-12-20,05:34:00,E. sexcinctus,1,
LR01_2,10-12-20,18:17:00,L. gymnocercus,1,orinando
LR01_2,10-12-20,19:54:00,C. chinga,1,
LR01_2,11-12-20,00:02:00,D. albiventris,1,
LR01_2,11-12-20,04:59:00,C. chinga,1,
LR01_2,12-12-20,02:51:00,C. chinga,1,
LR01_2,12-12-20,07:38:00,C. familiaris,1,
LR01_2,12-12-20,20:01:00,C. chinga,1,
LR01_2,13-12-20,23:55:00,D. albiventris,1,
LR01_2,14-12-20,02:38:00,D. hybridus,1,
LR01_2,14-12-20,03:51:00,C. chinga,1,
LR01_2,16-12-20,05:48:00,C. chinga,1,
LR01_2,17-12-20,16:25:00,C. familiaris,1,acompañando al peón
LR01_2,17-12-20,20:04:00,C. chinga,1,
LR01_2,17-12-20,22:02:00,C. chinga,1,
LR01_2,17-12-20,23:22:00,C. chinga,1,¿juvenil? Porque no tiene lineas blancas
LR01_2,18-12-20,05:06:00,L. geoffroyi,1,
LR01_2,18-12-20,11:45:00,L. geoffroyi,1,
LR01_2,18-12-20,22:18:00,D. albiventris,1,husmeando hoyo
LR01_2,18-12-20,22:20:00,L. geoffroyi,1,husmeando cerca del hoyo
LR01_2,19-12-20,02:35:00,C. chinga,1,¿juvenil? Porque no tiene lineas blancas
LR01_2,19-12-20,02:41:00,C. chinga,1,¿juvenil? Porque no tiene lineas blancas
LR01_2,19-12-20,02:41:00,P. cancrivorus,1,
LR01_3,15-11-20,16:55:00,L. gymnocercus,1,Buscando cebo y llevandoselo. También ave no id
LR01_3,04-12-20,03:17:00,C. thous,1,
LR01_3,07-12-20,20:22:00,L. gymnocercus,1,
LR01_3,08-12-20,02:09:00,L. gymnocercus,1,
LR01_3,09-12-20,20:01:00,L. gymnocercus,1,
LR01_3,14-12-20,23:16:00,L. gymnocercus,1,
LR01_3,16-12-20,01:38:00,D. hybridus,1,
LR01_3,16-12-20,06:49:00,L. gymnocercus,1,
LG06_1,24-09-20,13:31:46,L. gymnocercus,1,
LG06_1,25-09-20,08:39:20,A. axis,4,"4 indiv., todos sin hastas, uno parece cervatillo grande"
LG06_1,25-09-20,10:55:57,L. gymnocercus,1,(30 min)
LG06_1,25-09-20,12:23:39,L. gymnocercus,1,
LG06_1,25-09-20,12:41:28,L. gymnocercus,1,
LG06_1,25-09-20,14:07:36,L. gymnocercus,1,
LG06_1,25-09-20,15:18:31,L. gymnocercus,1,(4min)
LG06_1,25-09-20,16:01:15,L. gymnocercus,1,
LG06_1,25-09-20,16:19:13,L. gymnocercus,1,
LG06_1,26-09-20,02:38:59,L. gymnocercus,1,
LG06_1,27-09-20,01:50:05,A. axis,1,sin hastas
LG06_1,28-09-20,00:20:33,D. novemcinctus,1,
LG06_1,28-09-20,05:03:16,L. gymnocercus,1,
LG06_1,28-09-20,06:29:26,L. gymnocercus,1,
LG06_1,28-09-20,09:06:25,L. gymnocercus,1,
LG06_1,28-09-20,22:01:14,A. axis,2,"2 indiv. sin hastas, hembra + cervato?"
LG06_1,28-09-20,22:08:54,A. axis,2,"2 indiv, aparentemente ambos sin hastas, distintos a los anteriores"
LG06_1,29-09-20,08:36:30,L. gymnocercus,1,
LG06_1,29-09-20,10:18:12,L. gymnocercus,1,
